name,rank,country,description
University of Oxford,1,United Kingdom,"The University of Oxford is the oldest university in the English-speaking world and the world’s second oldest surviving university. While its exact founding date is unknown, there is evidence that teaching took place as far back as 1096.

Located in and around Oxford’s medieval city centre, the university comprises 44 colleges and halls, and over 100 libraries, making it the largest library system in the UK.

Students number around 22,000 in total, just over half of whom are undergraduates while over 40 per cent are international, representing 140 countries between them.

Called the ""city of dreaming spires"" by Victorian poet, Matthew Arnold, Oxford has the youngest population of any city in England and Wales: nearly a quarter of its residents are university students, which gives Oxford a noticeable buzz.

Oxford has an alumni network of over 250,000 individuals, including more than 120 Olympic medallists, 26 Nobel Prize winners, seven poets laureate, and over 30 modern world leaders (Bill Clinton, Aung San Suu Kyi, Indira Gandhi and 26 UK Prime Ministers, among them).

The university is associated with 11 winners of the Nobel Prize in chemistry, five in physics and 16 in medicine. Notable Oxford thinkers and scientists include Tim Berners-Lee, Stephen Hawking and Richard Dawkins. The actors Hugh Grant and Rosamund Pike also went to Oxford, as did the writers Oscar Wilde, Graham Greene, Vikram Seth and Philip Pullman.

Oxford’s first international student, named Emo of Friesland, was enrolled in 1190, while the modern day university prides itself on having an ‘international character’ with connections to almost every country in the world and 40% of its faculty drawn from overseas.

As a modern, research-driven university, Oxford has numerous strengths but cites particular prowess in the sciences, having recently ranked number one in the world for medicine (if its medical sciences division was a university in its own right, it would be the fourth largest in the UK) and among the top ten universities globally for life sciences, physical sciences, social sciences, and the arts and humanities."
Massachusetts Institute of Technology,2,United States,"The Massachusetts Institute of Technology (MIT) is an independent, coeducational, private research university based in the city of Cambridge, Massachusetts.

Established in 1861, MIT aims to ‘further knowledge and prepare students in science, technology and other fields of study that will best benefit the nation and the world today’. Its motto is Mens et Manus, which translates as “Mind and Hand”.

The university lays claim to 85 Nobel Laureates, 58 National Medal of Science winners, 29 National Medal of Technology and Innovation winners and 45 MacArthur Fellows. Among its impressive alumni is Kofi Annan, former secretary-general of the United Nations.

Scientific discoveries and technological advances accredited to MIT include the first chemical synthesis of penicillin, the development of radar, the discovery of quarks, and the invention of magnetic core memory, which enabled the development of digital computers.

MIT is currently organised into five different schools: architecture and planning, engineering, humanities, arts and social sciences, management and science.

It is home to around 1,000 faculty members and over 11,000 undergraduate and graduate students. MIT’s current areas of research include digital learning, sustainable energy, Big Data, human health and much more.

In addition to its emphasis on innovation and entrepreneurship, MIT also boasts a diverse and vibrant campus environment with a wide array of student groups. The campus is arranged over 168 acres within Cambridge, and features 18 student residences, 26 acres of playing fields, 20 gardens and green-space areas, as well as over 100 public works of art.

MIT estimates that all its living alumni have between them launched more than 30,000 active companies, created 4.6 million jobs and generated roughly $1.9 trillion in annual revenue.

Taken together, this ‘MIT Nation’ is equivalent, they say, to the 10th-largest economy in the world."
Princeton University,=3,United States,"Princeton is one of the oldest universities in the US and is regarded as one of the world’s most illustrious higher education institutions.

Founded in 1746 as the College of New Jersey, it was officially renamed Princeton University in 1896 in honour of the area where it is based, opening its famous graduate school in 1900.

Acclaimed for its commitment to teaching, the Ivy League institution offers residential accommodation to all of its undergraduates across all four years of study, with 98 per cent of undergraduates living on campus.

Its student body is relatively small, with fewer than 10,000 in total, and international students make up 12 per cent of undergraduates.

Princeton is also one of the world’s foremost research universities with connections to more than 40 Nobel laureates, 17 winners of the National Medal of Science and five recipients of the National Humanities Medal.

Faculty members who have been awarded a Nobel prize in recent years include chemists Tomas Lindahl and Osamu Shimomura, economists Paul Krugman and Angus Deaton and physicists Arthur McDonald and David Gross.

Notable alumni who have won a Nobel prize include the physicists Richard Feynman and Robert Hofstadter and chemists Richard Smalley and Edwin McMillan.

Princeton has also educated two US presidents, James Madison and Woodrow Wilson, who was also the university’s president prior to entering the White House. Other distinguished graduates include Michelle Obama, actors Jimmy Stewart and Brooke Shields, Amazon founder Jeff Bezos and Apollo astronaut Pete Conrad.

Princeton, which is consistently ranked among the world’s top 10 universities, is renowned for its campus’ park-like beauty as well as some of its landmark buildings, designed by some of America’s most well-known architects. For instance, its Lewis Library was designed by Frank Gehry and contains many of the university’s science collections. Its McCarter Theatre Center has won a Tony Award for the best regional theatre in the country.

Spread across 500 acres, the Princeton campus has about 180 buildings, including 10 libraries containing about 14 million holdings. It is popular with visitors, with about 800,000 people visiting its open campus each year, generating about $2 billion in revenue.

The Princeton area, which has a population of about 30,000 residents, is also something of a destination itself, with many attracted by its tree-lined streets and wide variety of shops, restaurants and parks.

The university is within easy reach of both New York City and Philadelphia, with the “Dinky” shuttle train providing a regular service lasting about one hour to both cities. Princeton regularly subsidises many student trips to concerts, plays and athletic events in the two cities."
University of Cambridge,=3,United Kingdom,"Founded in 1209, the University of Cambridge is a collegiate public research institution. Its 800-year history makes it the fourth-oldest surviving university in the world and the second-oldest university in the English-speaking world.

Cambridge serves more than 18,000 students from all cultures and corners of the world. Nearly 4,000 of its students are international and hail from over 120 different countries. In addition, the university’s International Summer Schools offer 150 courses to students from more than 50 countries.

The university is split into 31 autonomous colleges where students receive small group teaching sessions known as college supervisions.

Six schools are spread across the university’s colleges, housing roughly 150 faculties and other institutions. The six schools are: Arts and Humanities, Biological Sciences, Clinical Medicine, Humanities and Social Sciences, Physical Sciences and Technology.

The campus is located in the centre of the city of Cambridge, with its numerous listed buildings and many of the older colleges situated on or near the river Cam.

The university is home to over 100 libraries, which, between them, hold more than 15 million books in total. In the main Cambridge University library alone, which is a legal depository, there are eight million holdings. The university also owns nine arts, scientific and cultural museums that are open to the public throughout the year, as well as a botanical garden.

Cambridge University Press is a non-school institution and operates as the university’s publishing business. With over 50 offices worldwide, its publishing list is made up of 45,000 titles spanning academic research, professional development, research journals, education and bible publishing.

In total, 92 affiliates of the university have been awarded Nobel Prizes, covering every category.

The university’s endowment is valued at nearly £6 billion."
Harvard University,=5,United States,"Dating back to 1636, Harvard University is the oldest university in the US and is regarded as one of the most prestigious in the world.

It was named after its first benefactor, John Harvard, who left his library and half his estate to the institution when he died in 1638.

The private Ivy League institution has connections to more than 45 Nobel laureates, over 30 heads of state and 48 Pulitzer prizewinners. It has more than 323,000 living alumni, including over 271,000 in the US and nearly 52,000 in 201 other countries. Thirteen US presidents have honorary degrees from the institution; the most recent of these was awarded to John F. Kennedy in 1956.

Faculty members who have been awarded a Nobel prize in recent years include chemist Martin Karplus and economist Alvin Roth, while notable alumni who were given the honour include former US vice-president Al Gore, who won the Peace Prize in 2007, and poet Seamus Heaney, who was a professor at Harvard from 1981 to 1997.

Situated in Cambridge, Massachusetts, Harvard’s 5,000-acre campus houses 12 degree-granting schools in addition to the Radcliffe Institute for Advanced Study, two theatres and five museums. It is also home to the largest academic library in the world, with 20.4 million volumes, 180,000 serial titles, an estimated 400 million manuscript items, 10 million photographs, 124 million archived web pages and 5.4 terabytes of born-digital archives and manuscripts.

There are more than 400 student organisations on campus, and Harvard’s medical school is connected to 10 hospitals.

The university receives one of the largest financial endowments of any higher education institution in the world; it created $1.5 billion in the fiscal year ended June 2013 – more than a third of Harvard’s total operating revenue in that year.

Harvard’s official colour is crimson, following a vote in 1910, after two student rowers provided crimson scarves to their teammates so that spectators could differentiate the university’s team during a regatta in 1858."
Stanford University,=5,United States,"Stanford University has one of the largest campuses in the US and is one of the most prestigious universities in the world.

It was established in 1885 and opened six years later as a co-educational and non-denominational private institution.

Its location, less than an hour’s drive south of San Francisco next to Palo Alto, is in the heart of California’s Silicon Valley, and the university is known for its entrepreneurial spirit.

This entrepreneurialism has its roots in the aftermath of the Second World War, when the provost encouraged innovation, resulting in a self-sufficient industry that would become Silicon Valley.

By 1970, the university had a linear accelerator and hosted part of the early network that would become the technical foundation of the internet.

The main campus spans 8,180 acres and is home to almost all the undergraduates who study at the university.

There are 700 major university buildings housing 40 departments within the three academic schools and four professional schools, alongside 18 independent laboratories, centres and institutes.

Stanford counts 21 Nobel laureates within its community, and numerous famous alumni associated with the university from the worlds of business, politics, media, sport and technology.

The 31st president of the US, Herbert Hoover, was part of the very first class at Stanford, and received a degree in geology in 1895. Currently, Stanford is also one of the leading producers of US Congress members.

The alumni include 30 living billionaires, 17 astronauts, 18 Turing Award recipients and two Fields Medallists.

Google’s co-founders met at Stanford while pursuing doctorate degrees, although neither ultimately completed their theses.

In total, companies founded by Stanford affiliates and alumni generate more than $2.7 trillion annual revenue, which would be the 10th largest economy in the world. These companies include Nike, Netflix, Hewlett-Packard, Sun Microsystems, Instagram, Snapchat, PayPal and Yahoo.

The first American woman to go into space, Sally Ride, received an undergraduate degree in physics from Stanford in 1973. Just 10 years later, she made her ascent into space.

In the five years leading up to 2012, the university embarked on a challenge to raise more than $4 billion. The fundraising exceeded this target and concluded the campaign having raised $6.2 billion, which will be used for more faculty appointments, graduate research fellowships and scholarships, and construction on 38 new or existing campus buildings.

Some of the funds have already been used for large projects, including the world’s largest dedicated stem cell research facility, a new business school campus, a law school expansion, a new Engineering Quad, a campus concert hall and an art museum.

Unofficially, the Stanford motto is a German quotation “Die Luft der Freiheit weht”, which translates as “the wind of freedom blows”."
California Institute of Technology,7,United States,"The California Institute of Technology (Caltech) is a world-renowned science and engineering research and education institution, where extraordinary faculty and students seek answers to complex questions, discover new knowledge, lead innovation, and transform the future.

Caltech has six academic divisions with a strong emphasis in science and technology teaching and research. The university has a competitive admissions process ensuring that only a small number of the most gifted students are admitted.

Caltech has a high research output and alongside many high-quality facilities, both on campus and globally. This includes the Jet Propulsion Laboratory, the Caltech Seismological Laboratory and the International Observatory Network.

The alumni and faculty of Caltech have been awarded 39 Nobel Prizes, one Fields Medal, six Turing Awards and 71 United States National Medal of Science or Technology. Four chief scientists of the US Air Force have also attended the institution.

The campus is located in Pasadena, California, approximately 11 km away from downtown Los Angeles.  The school's official mascot is a beaver, paying tribute to nature's engineer.

Caltech students are also well-known for playing pranks, with one of the most famous pranks including changing the ""Hollywood"" sign to read Caltech, by covering up parts of the letters."
Imperial College London,8,United Kingdom,"Imperial College London, a science-based institution based in the centre of the capital, is regarded as one of the UK’s leading institutions.

The college has around 15,000 students and 8,000 staff, with a focus on four main areas: science, engineering, medicine and business.

The institution has its roots in the vision of Prince Albert to make London’s South Kensington a centre for education, with colleges going alongside the nearby Natural History Museum, Victoria and Albert Museum and Science Museum.

Imperial was granted its charter in 1907, merging the Royal College of Science, the Royal School of Mines and the City & Guilds College.

The institution boasts 14 Nobel Prize winners, including Sir Alexander Fleming, the discoverer of penicillin.

Famous alumni include science fiction author H.G. Wells, Queen guitarist Brian May, former prime minister of India Rajiv Gandhi, former UK chief medical officer Sir Liam Donaldson, and former chief executive of Singapore Airlines Chew Choon Seng.

The college’s motto isScientia imperii decus et tutamen, which translates as “Scientific knowledge, the crowning glory and the safeguard of the empire”.

Imperial’s most notable landmark is the Queen's Tower, a remainder of the Imperial Institute, built to mark Queen Victoria's Golden Jubilee in 1887."
"University of California, Berkeley",9,United States,"The University of California, Berkeley, a public research university, is regarded as one of the most prestigious state universities in the US. Part of the University of California System, it was founded in 1868.

Berkeley’s creation stemmed from a vision in the state constitution of a university that would “contribute even more than California’s gold to the glory and happiness of advancing generations”.

Berkeley’s colours of blue and gold were chosen in 1873 – blue representing not just the California sky and ocean but also the Yale graduates who helped to found the institution; gold the “Golden State” of California.

The university is located in San Francisco’s Bay Area, where it is home to about 27,000 undergraduate students and 10,000 postgraduate students.

Berkeley faculty have won 19 Nobel prizes, mostly in physics, chemistry and economics. Recent winners include Saul Perlmutter, who won the 2011 Nobel Prize for Physics for leading a team that discovered the accelerating expansion of the universe, suggesting the existence of a form of dark energy that comprises 75 per cent of the universe; and George Akerlof, who won the 2001 Prize for Economics for demonstrating how markets malfunction when buyers and sellers have access to different information.

Notable alumni include novelist and journalist Jack London, Oscar-winning actor Gregory Peck, former prime minister and president of Pakistan Zulfikar Ali Bhutto, author Joan Didion and Women’s World Cup-winning US footballer Alex Morgan.

Berkeley has a tradition as a centre of political activism. During the 1960s and 1970s, the campus was a hotbed for student protests against the Vietnam War.

Attractions on campus include a Botanic Garden established in 1890 and the 60,000-capacity California Memorial Stadium used by the university’s sports teams.

The Golden Bear is the symbol of Berkeley’s sports teams.

Berkeley’s sporting prowess was demonstrated at the 2012 Olympics in London, when its graduates won 17 medals – 11 gold, one silver and five bronze. If Berkeley had been a country, it would have ranked joint sixth in the gold medal table, alongside France and Germany."
Yale University,10,United States,"Yale University is a private Ivy League research university which is the third-oldest higher education institution in the US.

Yale traces its history back to 1701, when it was founded as the Collegiate School in Saybrook, Connecticut, which moved to New Haven 15 years later.

In 1718 it was renamed Yale College, in honour of Welsh benefactor Elihu Yale, and it was the first university in the US to award a PhD, in 1861.

Yale’s central campus covers 260 acres of New Haven, and includes buildings dating back to the mid-18th century.

The university is made up of 14 schools, and students follow a liberal arts curriculum, covering humanities and arts, sciences and social sciences before choosing a departmental major. Students also receive instruction in writing skills, quantitative reasoning and foreign languages.

Unusually for the US, Yale students are housed in residential colleges on the model of the universities of Oxford and Cambridge. There are 12 historic colleges, and construction of two more started in 2014.

Around one in five students is international, and more than half of all undergraduates receive scholarships or grants from the university.

Yale has an endowment that exceeds $25 billion (£17.3 billion), making it the second-richest educational institution in the world, and a library that holds more than 15 million volumes, making it the third-largest in the US.

Yale alumni and sports teams are known as “Bulldogs”, and many Yale graduates have gone on to notable careers in politics, the arts and science.

Four Yale graduates signed the American Declaration of Independence, and the university has educated five US presidents: William Howard Taft, Gerald Ford, George H. W. Bush, Bill Clinton and George W. Bush. Twenty Yale alumni have won Nobel prizes, including economist Paul Krugman, while 32 have won the Pulitzer Prize.

Other notable alumni include US secretaries of state Hillary Clinton and John Kerry, and actress Meryl Streep.

Yale’s campus includes many famous buildings, such as the Beinecke Rare Book & Manuscript Library, the Peabody Museum of Natural History and the Sterling Memorial Library.

New Haven is a city of about 130,000 people, located two and a half hours south of Boston, and an hour and a half north of New York. It has many shops, museums and restaurants, and is close to beaches, hiking trails and historic attractions."
